name,rank,tuition_and_fees,in_state
Lesley University,197,"$25,750",
University of Alabama at Huntsville (UAH),197,"$20,622","$9,128"
University of Colorado - Denver,197,"$29,334","$10,404"
"University of Nevada, Reno (UNR)",197,"$21,052","$7,142"
"California State University, Fullerton (CSUF)",202,"$17,596","$6,436"
Central Michigan University,202,"$23,670","$12,150"
Louisiana Tech University,202,"$25,851","$8,853"
South Dakota State University (SDSU),202,"$11,403","$8,172"
University of Alaska--Fairbanks,202,"$22,469","$7,799"
University of North Carolina at Charlotte (UNCC),202,"$20,193","$6,617"
University of North Dakota,202,"$18,899","$4,965"
University of South Dakota,202,"$11,688","$8,457"
East Carolina University (ECU),210,"$22,904","$6,946"
Montana State University,210,"$23,042","$7,031"
Old Dominion University,210,"$27,028","$10,048"
University of Missouri--Kansas City,210,"$22,714","$9,551"
Ashland University,214,"$20,392",
Dallas Baptist University,214,"$26,180",
Northern Illinois University,214,"$23,799","$14,334"
Nova Southeastern University,214,"$27,660",
Southern Illinois University--Carbondale,214,"$27,130","$13,481"
University of Montana,214,"$24,562","$6,446"
Benedictine University,220,"$32,170",
California State University--Fresno,220,"$17,209","$6,313"
Gardner-Webb University,220,"$29,850",
New Mexico State University,220,"$21,234","$6,729"
Shenandoah University,220,"$31,322",
Tennessee Technological University,220,"$24,800","$16,311"
University of Massachusetts (UMass) - Boston,220,"$32,023","$13,435"
University of Massachusetts (UMass) - Dartmouth,220,"$19,270","$12,588"
University of Missouri - St. Louis (UMSL),220,"$26,277","$10,065"
University of North Carolina--Greensboro,220,"$21,595","$6,733"
University of Southern Mississippi,220,"$16,094","$7,224"
Utah State University,220,"$19,772","$6,866"
